vehicle_id,vehicle_type,start_time,end_time_1,distance_1,travel_time_1,speed_1,end_time_2,distance_2,travel_time_2,speed_2,end_time_3,distance_3,travel_time_3,speed_3,end_time_4,distance_4,travel_time_4,speed_4,end_time_5,distance_5,travel_time_5,speed_5
宁A0376B_0,1,2021/6/13 10:37,2021/6/13 10:39,3210.45,0.03,107.015,2021/6/13 10:44,8856.04,0.086667,102.185,2021/6/13 10:46,3317.81,0.033889,97.902,2021/6/13 10:52,10380.7,0.098889,104.973,2021/6/13 11:15,22193.94,0.380556,58.32
宁AA662V_0,1,2021/6/13 10:39,2021/6/13 10:41,3210.45,0.027778,115.575,2021/6/13 10:46,8856.04,0.083056,106.627,2021/6/13 10:47,3317.81,0.029444,112.682,2021/6/13 10:54,10380.7,0.105,98.864,2021/6/13 11:05,22193.94,0.181944,121.982
宁AB7833_0,1,2021/6/13 10:40,2021/6/13 10:42,3210.45,0.03,107.015,2021/6/13 10:48,8856.04,0.094722,93.495,2021/6/13 10:50,3317.81,0.036667,90.485,2021/6/13 10:56,10380.7,0.093333,111.222,2021/6/13 11:07,22193.94,0.19,116.81
宁A8LR17_0,1,2021/6/13 10:42,2021/6/13 10:44,3210.45,0.029167,110.071,2021/6/13 10:49,8856.04,0.081111,109.184,2021/6/13 10:51,3317.81,0.0325,102.086,2021/6/13 10:57,10380.7,0.096667,107.386,2021/6/13 11:08,22193.94,0.189167,117.325
宁CLF320_0,1,2021/6/13 10:43,2021/6/13 10:44,3210.45,0.026944,119.153,2021/6/13 10:49,8856.04,0.081667,108.441,2021/6/13 10:51,3317.81,0.032222,102.967,2021/6/13 10:57,10380.7,0.096944,107.079,2021/6/13 11:08,22193.94,0.190278,116.64
宁CCW050_0,1,2021/6/13 10:45,2021/6/13 10:47,3210.45,0.025556,125.624,2021/6/13 10:51,8856.04,0.077778,113.863,2021/6/13 10:53,3317.81,0.028056,118.257,2021/6/13 10:58,10380.7,0.087222,119.015,2021/6/13 11:08,22193.94,0.171667,129.285
宁AM395R_0,1,2021/6/13 10:50,2021/6/13 10:52,3210.45,0.027778,115.575,2021/6/13 10:57,8856.04,0.084167,105.22,2021/6/13 10:59,3317.81,0.036944,89.806,2021/6/13 11:05,10380.7,0.098889,104.973,2021/6/13 11:17,22193.94,0.206389,107.535
宁AE395N_0,1,2021/6/13 10:51,2021/6/13 10:53,3210.45,0.030833,104.124,2021/6/13 10:59,8856.04,0.094722,93.495,2021/6/13 11:01,3317.81,0.036389,91.176,2021/6/13 11:07,10380.7,0.100833,102.949,2021/6/13 11:19,22193.94,0.201389,110.204
宁AB5331_1,16,2021/6/13 10:51,2021/6/13 10:54,3210.45,0.0425,75.54,2021/6/13 11:01,8856.04,0.126944,69.763,2021/6/13 11:04,3317.81,0.048333,68.645,2021/6/13 11:12,10380.7,0.132222,78.51,2021/6/13 11:29,22193.94,0.278333,79.739
宁EAB835_0,1,2021/6/13 10:51,2021/6/13 10:53,3210.45,0.029444,109.036,2021/6/13 10:58,8856.04,0.081944,108.074,2021/6/13 11:00,3317.81,0.030556,108.581,2021/6/13 11:05,10380.7,0.092222,112.562,2021/6/13 11:17,22193.94,0.192222,115.46
宁A806V6_0,1,2021/6/13 10:54,2021/6/13 10:56,3210.45,0.029444,109.036,2021/6/13 11:01,8856.04,0.088889,99.63,2021/6/13 11:03,3317.81,0.035278,94.048,2021/6/13 11:09,10380.7,0.099167,104.679,2021/6/13 11:21,22193.94,0.201667,110.052
宁AU232Z_0,1,2021/6/13 10:54,2021/6/13 10:56,3210.45,0.029444,109.036,2021/6/13 11:01,8856.04,0.088056,100.573,2021/6/13 11:03,3317.81,0.033889,97.902,2021/6/13 11:09,10380.7,0.098333,105.567,2021/6/13 11:21,22193.94,0.203889,108.853
宁A2HF76_0,1,2021/6/13 10:55,2021/6/13 10:57,3210.45,0.035278,91.004,2021/6/13 11:03,8856.04,0.096111,92.144,2021/6/13 11:05,3317.81,0.0325,102.086,2021/6/13 11:11,10380.7,0.103889,99.921,2021/6/13 11:23,22193.94,0.197222,112.533
宁DEW581_0,1,2021/6/13 10:56,2021/6/13 10:58,3210.45,0.029444,109.036,2021/6/13 11:03,8856.04,0.094167,94.046,2021/6/13 11:16,3317.81,0.216944,15.293,2021/6/13 11:23,10380.7,0.116111,89.403,2021/6/13 11:36,22193.94,0.206389,107.535
宁AUS769_0,1,2021/6/13 10:57,2021/6/13 10:58,3210.45,0.026944,119.153,2021/6/13 11:03,8856.04,0.08,110.701,2021/6/13 11:05,3317.81,0.031944,103.863,2021/6/13 11:11,10380.7,0.095,109.271,2021/6/13 11:33,22193.94,0.365833,60.667
宁CEV911_0,1,2021/6/13 11:04,2021/6/13 11:06,3210.45,0.028889,111.131,2021/6/13 11:11,8856.04,0.086944,101.859,2021/6/13 11:13,3317.81,0.031389,105.7,2021/6/13 11:19,10380.7,0.098056,105.865,2021/6/13 11:30,22193.94,0.188333,117.844
宁AX062G_0,11,2021/6/13 11:05,2021/6/13 11:07,3210.45,0.0325,98.783,2021/6/13 11:13,8856.04,0.094444,93.77,2021/6/13 11:15,3317.81,0.036667,90.485,2021/6/13 11:21,10380.7,0.102778,101.001,2021/6/13 11:33,22193.94,0.208333,106.531
宁A8B602_0,1,2021/6/13 11:07,2021/6/13 11:09,3210.45,0.029722,108.016,2021/6/13 11:14,8856.04,0.090833,97.498,2021/6/13 11:16,3317.81,0.033056,100.369,2021/6/13 11:22,10380.7,0.101111,102.666,2021/6/13 11:36,22193.94,0.228889,96.964
宁A61D52_0,1,2021/6/13 11:08,2021/6/13 11:10,3210.45,0.031111,103.193,2021/6/13 11:16,8856.04,0.091389,96.905,2021/6/13 11:18,3317.81,0.035,94.795,2021/6/13 11:23,10380.7,0.096944,107.079,2021/6/13 11:35,22193.94,0.2,110.97
宁A6P129_0,1,2021/6/13 11:09,2021/6/13 11:11,3210.45,0.031389,102.279,2021/6/13 11:16,8856.04,0.091944,96.32,2021/6/13 11:18,3317.81,0.036389,91.176,2021/6/13 11:25,10380.7,0.108333,95.822,2021/6/13 11:39,22193.94,0.226389,98.035
宁AX299R_0,11,2021/6/13 11:09,2021/6/13 11:11,3210.45,0.031111,103.193,2021/6/13 11:17,8856.04,0.093056,95.169,2021/6/13 11:19,3317.81,0.033889,97.902,2021/6/13 11:25,10380.7,0.113056,91.819,2021/6/13 11:38,22193.94,0.2175,102.041
宁AN336X_0,1,2021/6/13 11:11,2021/6/13 11:13,3210.45,0.029722,108.016,2021/6/13 11:18,8856.04,0.081944,108.074,2021/6/13 11:19,3317.81,0.029444,112.682,2021/6/13 11:25,10380.7,0.091111,113.935,2021/6/13 11:36,22193.94,0.192222,115.46
宁A1V372_0,1,2021/6/13 11:11,2021/6/13 11:13,3210.45,0.026944,119.153,2021/6/13 11:18,8856.04,0.080278,110.317,2021/6/13 11:20,3317.81,0.029722,111.628,2021/6/13 11:25,10380.7,0.092778,111.888,2021/6/13 11:37,22193.94,0.195,113.815
