u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
25632284,5284385982,0,8367072,1,residential,False,23.911,,,30,,Rua de Cedofeita,4,,,,,,54
25632285,25632293,0,734630278,1,secondary,False,48.62899999999999,4,,,,Praça da República,4,,,,,,55
25632292,25632278,0,8367070,0,residential,False,374.00399999999996,,,,,Rua dos Bragas,4,,,,,,56
25632292,25632293,0,128825641,1,residential,False,105.40400000000001,,,,,Rua dos Mártires da Liberdade,4,,,,,,57
25632293,1110698273,0,8367068,1,secondary,False,106.62299999999999,,,,,Praça da República,4,,,,,,58
25632293,25620653,0,"[643196090, 498298756]",1,secondary,False,110.23599999999999,,,,,Praça da República,4,,,,,,59
25632361,25632227,0,8367073,0,tertiary,True,113.207,,,,,Rua da Boa Hora,,,,,,,60
25632361,4612022469,0,34683151,0,tertiary,False,249.639,2,,,,Rua de Aníbal Cunha,,,,,,,61
25632361,25632279,0,252518836,1,residential,False,240.94299999999998,,,,,Rua da Torrinha,4,,,,,,62
25632362,128677717,0,156211618,0,secondary,False,135.533,2,,50,,Rua de Dom Manuel II,,,,,,,63
25632362,1874214575,0,434860177,0,secondary,True,69.728,,,50,,Rua de Dom Manuel II,,,,,,,64
25632363,2250794621,0,156211619,1,secondary,False,26.394,2,,,,Rua de Clemente Meneres,,,,,,,65
25632363,1684865542,0,156211620,1,secondary,False,26.459,1,,,,Rua de Dom Manuel II,,,,,,,66
25632367,25620518,0,35203817,1,residential,False,86.20800000000001,,,,,Rua das Oliveiras,4,,,,,,67
25632368,25632367,0,35203817,1,residential,False,85.186,,,,,Rua das Oliveiras,4,,,,,,68
25632368,1684844512,0,"[374346169, 128825637]",1,residential,False,133.518,,,,,Praça de Carlos Alberto,,,,,,,69
25632371,25632363,0,28193886,1,secondary,False,23.189999999999998,3,,,,Rua de Clemente Meneres,,,,,,,70
25632372,475052386,0,30405423,1,residential,False,100.89,,,,,Rua da Torrinha,4,,,,,,71
25632372,1417603317,0,8367074,1,residential,False,47.674,,,,,Rua do Padre Cruz,,,,,,,72
25632375,7056419949,0,434872539,0,secondary,False,106.28299999999999,3,,,,Rua de Camões,,,,,,,73
25632375,5284368076,0,434872541,1,residential,False,155.872,,,,,Rua de João das Regras,4,,,,,,74
25632375,1209790928,0,1064101791,0,secondary,True,51.326,3,,,,Rua de Camões,,,,,,,75
25632376,2893310955,0,"[14326572, 1082492468]",1,secondary,False,160.78,3,,,,Rua Heróis e Mártires de Angola,,,,,,,76
25632398,2204099938,0,434878401,0,secondary,True,98.92,3,,50,,Rua de Sá da Bandeira,,yes,,,,,77
25632398,2204100015,0,738994729,1,secondary,False,142.525,3,,50,,Rua de Sá da Bandeira,,yes,,,,,78
25632399,6405838291,0,207724055,0,residential,False,80.424,,,,,Rua do Bolhão,4,,,,,,79
25632399,25632398,0,38336643,1,residential,False,58.189,,,,,Rua da Firmeza,,,,,,,80
25632400,25632401,0,206720845,1,secondary,False,101.35600000000001,2,,,,Rua de Fernandes Tomás,,,,,,,81
25632400,6405838291,0,683853048,1,residential,False,21.996000000000002,,,30,,Rua do Bolhão,4,,,,,,82
25632401,25632402,0,8367104,1,residential,False,56.049,,,,,Rua do Bonjardim,4,,,,,,83
25632401,25632419,0,206720845,1,secondary,False,106.439,2,,,,Rua de Fernandes Tomás,,,,,,,84
25632402,1278184346,0,8367104,1,residential,False,114.707,,,,,Rua do Bonjardim,4,,,,,,85
25632402,2242805402,0,227982906,1,residential,False,85.70900000000002,,,,,Rua do Estêvão,,,,,,,86
25632411,25632398,0,8367114,1,tertiary,False,209.843,2,,,,Rua da Firmeza,4,,,,,,87
25632411,25632412,0,252526951,1,tertiary,False,172.68900000000002,,,,,Rua da Alegria,4,,,,,,88
25632412,2829209747,0,14328446,1,secondary,False,113.035,,,,,Rua de Fernandes Tomás,,,,,,,89
25632412,129553875,0,252526951,1,tertiary,False,196.16500000000002,,,,,Rua da Alegria,4,,,,,,90
25632419,452682265,0,"[1064101794, 1064101795, 1064101797, 743684113, 38336628]",1,secondary,False,100.89899999999999,"['4', '3']",,,,Rua da Trindade,,,,,,,91
25632422,3130312338,0,1062647699,0,tertiary,False,14.884,2,,50,,Rua de Guilherme da Costa Carvalho,,,,,,,92
25632422,2242805402,0,60175590,1,secondary,False,163.209,3,,,,Rua Doutor António Luís Gomes,,,,,,,93
25632423,25632426,0,252527740,1,secondary,False,252.475,,,,,Rua de Dom João IV,4,,,,,,94
25632423,25632424,0,252526952,1,tertiary,False,122.133,,,,,Rua da Firmeza,4,,,,,,95
25632424,25632411,0,252526952,1,tertiary,False,47.20700000000001,,,,,Rua da Firmeza,4,,,,,,96
25632424,25632433,0,274467054,1,residential,False,199.791,,,,,Rua Doutor Alves da Veiga,4,,,,,,97
25632425,25632426,0,350915445,1,residential,False,93.67,,,,,Rua do Moreira,4,,,,,,98
25632425,25632411,0,252526950,1,tertiary,False,266.74699999999996,,,,,Rua da Alegria,4,,,,,,99
25632426,411909880,0,252527740,1,secondary,False,140.929,,,,,Rua de Dom João IV,4,,,,,,100
25632426,25632427,0,350915445,1,residential,False,135.969,,,,,Rua do Moreira,4,,,,,,101
25632427,1043000761,0,14334429,1,residential,False,141.555,,,,,Rua de Anselmo Braamcamp,4,,,,,,102
25632427,25632466,0,34614186,1,residential,False,88.94,,,,,Rua do Moreira,4,,,,,,103
25632427,25632428,0,350915448,1,residential,False,249.616,,,,,Rua de Anselmo Braamcamp,4,,,,,,104
25632428,25632423,0,252526955,1,tertiary,False,91.567,,,,,Rua da Firmeza,4,,,,,,105
25632429,25632428,0,252526955,1,tertiary,False,84.382,,,,,Rua da Firmeza,4,,,,,,106
25632429,126647309,0,350915450,1,tertiary,False,65.407,2,,,,Rua de Santos Pousada,,,,,,,107
25632432,25632423,0,8367160,1,secondary,False,225.829,,,,,Rua de Dom João IV,4,,,,,,108
