u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
698565335,2234753872,0,"[840256045, 172956502]",0,residential,False,168.27400000000003,"['2', '1']",,30,,Travessa Bernardo Santareno,,,,,,,8382
698565453,2234753964,0,213844498,0,residential,True,16.889,2,,,,Praceta Mário Sá Carneiro,,,,,,,8383
698565453,1725589541,0,761561726,1,primary,False,112.428,2,EN 12,50,,Estrada Exterior da Circunvalação,,,,,,,8384
698591853,2234962317,0,371722642,1,tertiary,False,24.955000000000002,2,,50,,Rua António Carneiro,,,,,,,8385
698591853,698591939,0,1006953156,1,tertiary,False,36.659000000000006,2,,40,,Alameda Eugênio de Andrade,,,,,,,8386
698591900,698591943,0,172956411,0,residential,False,10.789,,,,,Alameda Eugénio de Andrade,,,,,,,8387
698591900,698591903,0,840259928,1,tertiary,False,43.622,2,,40,,Alameda Eugênio de Andrade,,,,,,,8388
698591903,698591944,0,172956425,0,residential,False,10.498,,,,,Alameda Eugénio de Andrade,,,,,,,8389
698591903,2234753905,0,840259928,1,tertiary,False,17.08,2,,40,,Alameda Eugênio de Andrade,,,,,,,8390
698591939,698591900,0,840259928,1,tertiary,False,117.596,2,,40,,Alameda Eugênio de Andrade,,,,,,,8391
698591943,698591900,0,172956411,0,residential,True,10.789,,,,,Alameda Eugénio de Andrade,,,,,,,8392
698591944,698591903,0,172956425,0,residential,True,10.498,,,,,Alameda Eugénio de Andrade,,,,,,,8393
698593228,698593230,0,55583774,0,residential,False,69.375,,,,,Rua de Enrique Pousão,,,,,,,8394
698593228,1243857979,0,448854874,1,secondary,False,100.866,2,,,,Rua do Tenente Valadim,,,,,,,8395
698593230,670393821,0,55583774,0,residential,False,76.417,,,,,Rua de Enrique Pousão,,,,,,,8396
698593230,698593228,0,55583774,0,residential,True,69.375,,,,,Rua de Enrique Pousão,,,,,,,8397
698593230,4297940276,0,430528870,0,residential,False,32.792,,,,,Largo de António Ramalho,,,,,,,8398
698595396,4468029553,0,449886080,0,tertiary,True,11.902,2,,,,Rua do Doutor Eduardo Torres,,,,,,,8399
698595396,4468029552,0,449886077,1,residential,False,23.366999999999997,,,,,Rua Aleixo Fernandes,,,,,,,8400
698595396,2234753806,0,449886080,0,tertiary,False,110.12400000000001,2,,,,Rua do Doutor Eduardo Torres,,,,,,,8401
698601461,7117960497,0,172956456,1,residential,False,105.963,1,,,,Estrada Exterior da Circunvalação,,,,,,,8402
698601461,7117960497,1,761831013,1,primary,False,94.77100000000002,2,EN 12,50,,Estrada Exterior da Circunvalação,,,,,,,8403
698601473,8062336756,0,464756917,1,secondary,False,18.432,1,,,,Rua Doutor Eduardo Torres,,,,,,,8404
698601473,2234733002,0,120827345,0,living_street,False,149.30100000000002,1,,20,,Viela do Doutor Eduardo Torres,,,,,,,8405
698737537,1219225141,0,104916329,0,secondary,False,76.647,2,,,,Rua da Cruz de Pau,,,,,,,8406
698737537,670399873,0,104916329,0,secondary,True,99.697,2,,,,Rua da Cruz de Pau,,,,,,,8407
698737537,1837851181,0,961880432,0,tertiary,False,86.46600000000001,2,,,,Rua Guilherme Felgueiras,,,,,,,8408
698737551,698737565,0,172956522,0,tertiary,False,45.584,2,,,,,,,,,,,8409
698737551,698737560,0,172956522,0,tertiary,True,59.803,2,,,,,,,,,,,8410
698737551,2258130826,0,216476239,0,living_street,False,55.038,,,,,,,,,,,,8411
698737560,698737551,0,172956522,0,tertiary,False,59.803,2,,,,,,,,,,,8412
698737560,7892984327,0,172956522,0,tertiary,True,100.84100000000001,2,,,,,,,,,,,8413
698737560,2258130857,0,216476237,0,living_street,True,67.95,,,,,,,,,,,,8414
698737565,1837851233,0,172956512,0,tertiary,False,83.72800000000001,,,,,Alameda da Água Viva,,,,,,,8415
698737565,698737551,0,172956522,0,tertiary,True,45.584,2,,,,,,,,,,,8416
698737565,1219225121,0,223279427,0,tertiary,False,20.631999999999998,,,,,,,,,,,,8417
698737596,6228577940,0,930223753,0,residential,True,87.99100000000001,2,,,,Rua Guilherme Felgueiras,,,,,,,8418
698737596,698737757,0,961716738,0,tertiary,False,71.572,2,,,,Rua de Monserrate,,,,,,,8419
698737596,6094372016,0,961716738,0,tertiary,True,50.536,2,,,,Rua de Monserrate,,,,,,,8420
698737606,1219225161,0,930223759,0,residential,True,62.251999999999995,2,,,,Rua António Aleixo,,,,,,,8421
698737610,6228577979,0,665465004,0,living_street,False,12.107,,,,,,,,,,,,8422
698737610,1837851185,0,55594505,0,residential,True,49.023,2,,,,Rua António Aleixo,,,,,,,8423
698737610,1219225161,0,"[930223760, 930223759]",0,residential,False,52.214999999999996,2,,,,Rua António Aleixo,,,,,,,8424
698737659,4665774641,0,1009285794,1,secondary,False,5.519,2,,,,Rotunda da Fonte Luminosa,,,roundabout,,,,8425
698737663,4665774643,0,1009285792,1,secondary,False,16.112,2,,,,Rotunda da Fonte Luminosa,,,roundabout,,,,8426
698737689,698737692,0,168970775,0,tertiary,False,90.71,,,,viaduct,Alameda da Água Viva,,,,,,,8427
698737689,7114167924,0,761440430,1,tertiary,False,43.224000000000004,,,,,Alameda da Água Viva,,,,,,,8428
698737692,698737689,0,168970775,0,tertiary,True,90.71,,,,viaduct,Alameda da Água Viva,,,,,,,8429
698737692,698565265,0,168970777,1,tertiary,False,30.988,,,,,Alameda da Água Viva,,,,,,,8430
698737699,698737703,0,172956525,1,trunk_link,False,89.743,,,,,,,,,,,,8431
698737703,3521762403,0,451632113,1,trunk,False,356.42299999999994,,,120,,Avenida da Liberdade,,,,,,,8432
698737707,6094371994,0,55594509,0,residential,True,2.099,2,,,,Rua de Monserrate,,,,,,,8433
698737707,698737699,0,172956513,1,trunk_link,False,258.107,,,,,,,,,,,,8434
698737707,698737739,0,1023783509,0,tertiary,False,51.153000000000006,2,,,,Rua de Monserrate,,,,,,,8435
698737726,8303467640,0,139465331,1,living_street,False,148.93,1,,30,,Rua de Doutor Eduardo Torres,,,,,,,8436
698737726,1122690133,0,172956479,1,residential,False,104.70400000000001,1,,,,,,,,,,,8437
698737739,1219225121,0,105884943,0,tertiary,True,45.012,,,,,,,,,,,,8438
698737739,1837851197,0,1023783509,0,tertiary,False,45.582,2,,,,Rua de Monserrate,,,,,,,8439
698737739,698737707,0,1023783509,0,tertiary,True,51.153,2,,,,Rua de Monserrate,,,,,,,8440
698737757,8303467640,0,893398108,0,living_street,True,91.453,2,,30,,Rua de Doutor Eduardo Torres,,,,,,,8441
698737757,698737759,0,961716738,0,tertiary,False,25.127000000000002,2,,,,Rua de Monserrate,,,,,,,8442
698737757,698737596,0,961716738,0,tertiary,True,71.572,2,,,,Rua de Monserrate,,,,,,,8443
698737759,698738281,0,27426435,1,secondary,False,237.82500000000002,2,,,,Avenida Vilagarcía de Arousa,,,,,,,8444
698737759,698737757,0,961716738,0,tertiary,True,25.127,2,,,,Rua de Monserrate,,,,,,,8445
698737759,1725590011,0,1006953158,0,tertiary,False,9.998000000000001,2,,,,Rua de Monserrate,,,,,,,8446
698737841,1837851192,0,172956462,0,residential,False,55.494,2,,,,,,,,,,,8447
698737841,698737847,0,172956462,0,residential,True,50.267,2,,,,,,,,,,,8448
698737841,1837851210,0,291772348,0,residential,True,37.663,2,,,,Rua Doutor António Teixeira de Melo,,,,,,,8449
698737847,698737841,0,172956462,0,residential,False,50.266999999999996,2,,,,,,,,,,,8450
698737847,8632320852,0,649366815,0,residential,False,64.62800000000001,1,,,,,,,,,,,8451
698737847,8632320852,1,649366815,0,residential,True,37.475,1,,,,,,,,,,,8452
698737866,698737868,0,172956504,0,residential,False,14.766,2,,,,Rua Fernando Pessoa,,,,,,,8453
698737866,4178922598,0,845115423,0,secondary,False,141.665,2,,,,Rua da Quinta Seca,,,,,,,8454
698737866,1837851173,0,845115423,0,secondary,True,72.118,2,,,,Rua da Quinta Seca,,,,,,,8455
698737868,1837851174,0,172956504,0,residential,False,153.802,2,,,,Rua Fernando Pessoa,,,,,,,8456
698737868,698737866,0,172956504,0,residential,True,14.766,2,,,,Rua Fernando Pessoa,,,,,,,8457
698737868,4178922596,0,654387257,0,residential,True,156.474,2,,,,Travessa da Quinta Seca,,,,,,,8458
698737886,698737726,0,893398114,1,residential,False,58.153,1,,30,,Rua de Doutor Eduardo Torres,,,,,,,8459
698737886,698738281,0,959527948,1,residential,False,90.769,1,,50,,Rua Dom Nuno Álvares Pereira,,,,,,,8460
698737929,4178922590,0,104916329,0,secondary,False,28.687,2,,,,Rua da Cruz de Pau,,,,,,,8461
698737929,3976822536,0,104916329,0,secondary,True,121.977,2,,,,Rua da Cruz de Pau,,,,,,,8462
698737929,1209793231,0,308728617,0,residential,True,28.788,2,,,,,,,,,,,8463
698738281,1108123564,0,345212821,1,tertiary,False,20.721,,,50,,Rua Dom Nuno Álvares Pereira,,,,,,,8464
698738281,8300397645,0,959527947,1,secondary,False,93.834,2,,,,Avenida Vilagarcía de Arousa,,,,,,,8465
698782975,670867630,0,172956390,0,tertiary,True,69.18900000000001,,,,,Rua de Goa,,,,,,,8466
698783235,1236467614,0,160503594,1,secondary_link,False,46.242000000000004,1,,,,Avenida Dom Afonso Henriques,,,,,,,8467
698783235,301110220,0,649376293,1,primary,False,31.891000000000002,2,EN 12,50,,Estrada Exterior da Circunvalação,,,,,,,8468
698807878,698807879,0,172956493,0,tertiary,True,31.134,2,,,,Rua Ribeiro dos Santos,,,,,,,8469
698807878,8496413510,0,104916331,0,residential,False,221.573,2,,50,,Travessa Nova do Estádio,,,,,,,8470
698807878,1837851268,0,172956493,0,tertiary,False,24.625,2,,,,Rua Ribeiro dos Santos,,,,,,,8471
698807879,698807878,0,172956493,0,tertiary,False,31.134,2,,,,Rua Ribeiro dos Santos,,,,,,,8472
698807879,698807880,0,172956493,0,tertiary,True,28.774,2,,,,Rua Ribeiro dos Santos,,,,,,,8473
698807880,698807879,0,172956493,0,tertiary,False,28.774,2,,,,Rua Ribeiro dos Santos,,,,,,,8474
698807880,698807881,0,172956493,0,tertiary,True,46.821,2,,,,Rua Ribeiro dos Santos,,,,,,,8475
698807880,698807937,0,253715981,1,residential,False,183.55499999999998,1,,,,Rua São Marçal,,,,,,,8476
698807881,698807911,0,55602285,0,tertiary,True,63.281000000000006,2,,,,Rua Nova do Estádio,,,,,,,8477
698807881,698807880,0,172956493,0,tertiary,False,46.821,2,,,,Rua Ribeiro dos Santos,,,,,,,8478
698807881,698807934,0,961716741,0,tertiary,False,165.478,2,,,,Rua Nova do Estádio,,,,,,,8479
698807910,698807911,0,55602285,0,tertiary,False,81.105,2,,,,Rua Nova do Estádio,,,,,,,8480
698807910,2596082465,0,55602285,0,tertiary,True,55.117,2,,,,Rua Nova do Estádio,,,,,,,8481
698807910,1837851395,0,172956459,0,residential,False,139.81099999999998,2,,,,Travessa Nova do Estádio,,,,,,,8482
698807911,698807881,0,55602285,0,tertiary,False,63.281,2,,,,Rua Nova do Estádio,,,,,,,8483
698807911,698807910,0,55602285,0,tertiary,True,81.105,2,,,,Rua Nova do Estádio,,,,,,,8484
698807911,2596082460,0,253715988,0,residential,True,71.268,2,,,,Rua de Santa Helena,,,,,,,8485
698807920,1837851332,0,172956475,0,residential,False,15.858,,,,,,,,,,,,8486
698807921,1837851332,0,172956475,0,residential,True,55.323,,,,,,,,,,,,8487
698807921,1801521346,0,"[172956475, 168971069]",0,residential,"[False, True]",97.44800000000001,,,,,Rua Santa Marinha,,,,,,,8488
698807934,3976822544,0,62312653,0,tertiary,False,8.339,2,,,,Rua Funde de Vila,,,,,,,8489
698807934,1801521346,0,62312653,0,tertiary,True,130.884,2,,,,Rua Funde de Vila,,,,,,,8490
698807934,698807881,0,961716741,0,tertiary,True,165.478,2,,,,Rua Nova do Estádio,,,,,,,8491
698807937,698807939,0,62312653,0,tertiary,False,31.542,2,,,,Rua Funde de Vila,,,,,,,8492
698807937,698816657,0,62312653,0,tertiary,True,30.365000000000002,2,,,,Rua Funde de Vila,,,,,,,8493
698807937,2596082470,0,864238266,0,residential,False,218.291,1,,,,Rua São Marçal,,,,,,,8494
698807939,2596082494,0,62312653,0,tertiary,False,21.109,2,,,,Rua Funde de Vila,,,,,,,8495
698807939,698807937,0,62312653,0,tertiary,True,31.542,2,,,,Rua Funde de Vila,,,,,,,8496
698807939,698807879,0,253715989,1,residential,False,185.286,1,,,,Rua Santa Luzia,,,,,,,8497
698807947,2596082397,0,"[864238276, 62075709, 62075710]",0,"['residential', 'tertiary']",False,232.927,2,,,,Rua do Estádio,,,,yes,,,8498
698807947,698827315,0,172956527,1,tertiary,False,166.864,1,,,,,,,,,,,8499
698807951,2596082460,0,253715988,0,residential,False,57.444,2,,,,Rua de Santa Helena,,,,,,,8500
698807951,2596082405,0,253715988,0,residential,True,28.198,2,,,,Rua de Santa Helena,,,,,,,8501
698807951,1837851395,0,864238276,0,residential,True,63.296,,,,,Rua do Estádio,,,,,,,8502
698807951,698807921,0,915025553,1,residential,False,122.635,1,,,,Rua de Santa Eufémia,,,,,,,8503
698816657,698816674,0,62312653,0,tertiary,True,22.107,2,,,,Rua Funde de Vila,,,,,,,8504
698816657,698807937,0,62312653,0,tertiary,False,30.365000000000002,2,,,,Rua Funde de Vila,,,,,,,8505
698816657,698816659,0,104916340,0,residential,False,119.92099999999999,1,,,,Rua João Guedes,,,,,,,8506
698816659,698816661,0,915025546,0,residential,True,45.961,1,,,,Travessa Nossa Senhora da Guia,,,,,,,8507
698816659,1209793035,0,104916340,0,residential,False,75.076,1,,,,Rua João Guedes,,,,,,,8508
698816659,698816657,0,104916340,0,residential,True,119.92099999999999,1,,,,Rua João Guedes,,,,,,,8509
698816661,698816659,0,915025546,0,residential,False,45.961,1,,,,Travessa Nossa Senhora da Guia,,,,,,,8510
698816661,698816680,0,172956499,0,residential,False,97.424,2,,,,Rua de Nossa Senhora da Guia,,,,,,,8511
698816661,698816674,0,172956499,0,residential,True,115.057,2,,,,Rua de Nossa Senhora da Guia,,,,,,,8512
698816674,698816657,0,62312653,0,tertiary,False,22.107,2,,,,Rua Funde de Vila,,,,,,,8513
698816674,3976822544,0,62312653,0,tertiary,True,27.826,2,,,,Rua Funde de Vila,,,,,,,8514
698816674,698816661,0,172956499,0,residential,False,115.057,2,,,,Rua de Nossa Senhora da Guia,,,,,,,8515
698816675,2952689684,0,172956488,0,residential,False,116.34100000000001,1,,,,Rua de São Tiago,,,,,,,8516
698816680,672550771,0,"[168970841, 168970842, 172956499, 456442751]",0,"['unclassified', 'residential']",False,176.17600000000002,"['2', '1']",,,,"['Rua de Bouças', 'Rua de Nossa Senhora da Guia']",,,,yes,,,8517
698816680,698816661,0,172956499,0,residential,True,97.424,2,,,,Rua de Nossa Senhora da Guia,,,,,,,8518
698816680,8506346462,0,291772349,0,residential,False,142.918,,,,,Rua de Santo Estevão,,,,,,,8519
698816683,2334443317,0,172956466,0,residential,True,15.264,,,,,Rua de Salazares,,,,,,,8520
698816683,4468929084,0,172956468,1,residential,False,58.559,,,,,Rua de Soeiro Mendes,,,,,,,8521
698816683,410199074,0,224649288,0,residential,False,70.669,,,,,Rua de Salazares,,,,,,,8522
698827313,1236467473,0,13860751,0,tertiary,False,150.36,2,,,,Rua da Barranha,,,,,,,8523
698827313,698827321,0,168970997,1,tertiary_link,False,25.823999999999998,1,,,,,,,,,,,8524
698827315,698827320,0,583817446,1,secondary,False,27.694,2,,,,,,,roundabout,,,,8525
698827320,5512613151,0,1010030161,1,secondary,False,3.388,2,,,,,,,roundabout,,,,8526
698827320,5512613155,0,907476921,0,residential,True,12.833,,,,,,,,,,,,8527
698827321,698827315,0,1010030162,1,secondary,False,6.693,2,,,,,,,roundabout,,,,8528
698827322,698827328,0,1009285812,1,secondary,False,6.68,2,,,,,,,roundabout,,,,8529
698827325,1801521331,0,1010030159,1,secondary,False,12.392,2,,,,,,,roundabout,,,,8530
698827328,287458376,0,26248551,1,secondary,False,178.85499999999996,1,,50,,Avenida Calouste Gulbenkian,,,,,,,8531
698827328,698827325,0,583817445,1,secondary,False,35.127,2,,,,,,,roundabout,,,,8532
702048051,1520364388,0,42193485,0,secondary,True,32.1,,EM318-1,,,Rua da Agra,,,,,,,8533
702048051,702048061,0,311372454,1,secondary,False,23.698,,EM318-1,,,Rua da Agra,,,,,,,8534
702048061,1520364714,0,138504213,1,secondary,False,8.732,2,,,,,,,roundabout,,,,8535
702048068,702048051,0,311372455,1,secondary,False,27.015,,EM318-1,,,Rua da Agra,,,,,,,8536
702048068,702048061,0,743545825,1,secondary,False,14.773000000000001,2,,,,,,,roundabout,,,,8537
702048077,702048068,0,212397874,1,secondary,False,4.303,2,,,,,,,roundabout,,,,8538
702048082,2214935302,0,311372456,1,secondary_link,False,24.645,,,,,Rua da Agra,,,,,,,8539
702048082,1518683355,0,743545824,1,secondary,False,10.741000000000001,2,,,,,,,roundabout,,,,8540
702048107,3170186257,0,311372453,0,tertiary,False,52.652,2,,50,,Rua General Humberto Delgado,,,,,,,8541
702048107,1520365205,0,138657745,1,tertiary,False,22.13,2,,50,,,,,,,,,8542
702048131,1520365491,0,138657657,0,residential,False,177.539,,,,,,,,,,,,8543
702048131,1520365573,0,311372453,0,tertiary,True,63.681999999999995,2,,50,,Rua General Humberto Delgado,,,,,,,8544
702048131,1520366040,0,311382512,0,tertiary,False,178.397,2,,50,,Rua das Escolas,,,,,,,8545
702048143,4563733959,0,743541091,0,tertiary,False,15.826,2,,50,,Via Central de Milheirós,,,,,,,8546
702048143,4563733951,0,138657437,0,residential,True,91.43199999999999,,,,,Rua do Bacêlo,,,,,,,8547
702048143,1520367217,0,743544843,0,residential,False,125.385,,,,,Rua do Bacêlo,,,,,,,8548
702048143,1520366326,0,743544844,0,tertiary,True,114.083,2,,50,,Via Central de Milheirós,,,,,,,8549
702048202,1520365766,0,211481947,0,secondary,False,193.46799999999996,,EM318-1,,,Rua da Vessada,,,,,,,8550
702048202,2214935302,0,211481947,0,secondary,True,57.263999999999996,,EM318-1,,,Rua da Vessada,,,,,,,8551
702048202,3170186257,0,311382515,0,residential,True,155.664,,,,,Travessa da Agra,1.5,,,,,,8552
705402016,1438377779,0,859079047,1,secondary,False,10.362,,,,,,,,roundabout,,,,8553
705402021,705402185,0,56211689,1,residential,False,157.096,,,,,Travessa Francisco Maia,4,,,,,,8554
705402021,2234708796,0,130432855,0,residential,False,298.074,,,,,Rua da Bataria,,,,,,,8555
705402031,317073622,0,1016974247,1,primary,False,31.701999999999998,2,EN 531,,,,,,roundabout,,,,8556
705402035,705402298,0,56211698,1,secondary,False,92.63199999999999,,,,,,,,,,,,8557
705402035,705402201,0,308680614,1,secondary,False,71.909,,,,,Rua Belchior Robles,,,,,,,8558
705402036,1429114376,0,859079033,1,primary,False,13.645,2,EN 540-1,,,,,,roundabout,,,,8559
705402041,1190297320,0,56211707,1,secondary,False,290.118,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8560
705402041,705402143,0,859079052,1,secondary,False,31.277,,,,,,,,roundabout,,,,8561
705402045,1436987635,0,308679980,1,secondary,False,34.116,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8562
705402045,4606538098,0,465727803,1,residential,False,25.871,,,,,,,,,,,,8563
705402081,705402166,0,1016982160,1,secondary,False,67.884,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8564
705402092,3139475431,0,130432860,1,secondary,False,44.766,,,50,,Avenida Doutor António Macedo,,,,,,,8565
705402092,278405393,0,859079021,1,primary,False,28.749,2,EN 540-1,,,,,,roundabout,,,,8566
705402094,705402298,0,56211663,1,secondary,False,79.29899999999999,,,,,Rua Belchior Robles,,,,,,,8567
705402094,705402201,0,223296088,1,secondary,False,142.733,2,,,,Rua Coronel Hélder Ribeiro,,,,,,,8568
705402097,112694575,0,"[738061993, 25545002]",1,motorway_link,False,438.949,1,,60,,,,,,,,,8569
705402097,1811646157,0,859079030,1,primary,False,27.243,2,EN 540-1,,,,,,roundabout,,,,8570
705402103,705402041,0,859079053,1,secondary,False,10.449,,,,,,,,roundabout,,,,8571
705402105,706409999,0,56304678,1,secondary,False,27.451,,,,,,,,,,,,8572
705402105,705402291,0,308680617,1,secondary,False,80.20100000000001,,,,,Rua Belchior Robles,,,,,,,8573
705402108,705402161,0,56211666,0,residential,False,21.89,,,,,Rua Francisco Maia,4,,,,,,8574
705402113,549517224,0,56211696,1,tertiary_link,False,40.72,,,,,,,,,,,,8575
705402113,4463941180,0,223296088,1,secondary,False,342.538,2,,,,Rua Coronel Hélder Ribeiro,,,,,,,8576
705402126,1037307091,0,74013812,0,tertiary,False,433.26200000000006,,,,,,,,,,,,8577
705402126,1037307045,0,1019676005,1,tertiary,False,23.238,,,,,,,,roundabout,,,,8578
705402142,1436602928,0,56211666,0,residential,False,15.811,,,,,Rua Francisco Maia,4,,,,,,8579
705402142,705402238,0,56211658,0,residential,False,212.755,,,,,Rua Maia Pinto,4,,,,,,8580
705402142,1436602926,0,56211666,0,residential,True,48.623999999999995,,,,,Rua Francisco Maia,4,,,,,,8581
705402142,705402148,0,56211679,0,residential,True,124.88900000000001,,,,,Rua Emílio Garcia Ramirez,4,,,,,,8582
705402143,1438377772,0,"[859079049, 859079050, 859079051]",1,secondary,False,52.141000000000005,,,,,,,,roundabout,,,,8583
705402148,1436602897,0,56211699,0,residential,True,48.155,,,,,Rua José Augusto de Almeida Cayolla,4,,,,,,8584
705402148,705402142,0,56211679,0,residential,False,124.88900000000001,,,,,Rua Emílio Garcia Ramirez,4,,,,,,8585
705402148,1436602915,0,56211699,0,residential,False,128.06799999999998,,,,,Rua José Augusto de Almeida Cayolla,4,,,,,,8586
705402149,292257959,0,26644752,1,secondary,False,44.496,2,,,,,,,,,,,8587
705402149,705402215,0,56211705,1,secondary,False,43.738,2,,,,,,,,,,,8588
705402158,2355247190,0,56211678,1,secondary,False,158.96900000000002,,,,,,,,,,,,8589
705402161,705402251,0,56211662,0,residential,False,125.047,,,,,Rua Francisco Maia,4,,,,,,8590
705402161,705402185,0,56211666,0,residential,False,16.414,,,,,Rua Francisco Maia,4,,,,,,8591
705402161,705402108,0,56211666,0,residential,True,21.89,,,,,Rua Francisco Maia,4,,,,,,8592
705402166,1436987464,0,308679980,1,secondary,False,122.39600000000002,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8593
705402166,1190294682,0,1016982161,1,secondary,False,31.726999999999997,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8594
705402167,705402149,0,26644752,1,secondary,False,12.181,2,,,,,,,,,,,8595
705402185,1436602926,0,56211666,0,residential,False,26.051,,,,,Rua Francisco Maia,4,,,,,,8596
705402185,705402161,0,56211666,0,residential,True,16.414,,,,,Rua Francisco Maia,4,,,,,,8597
705402195,6819546582,0,308679988,1,secondary,False,194.303,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8598
705402195,1190291372,0,859079044,1,secondary,False,55.393,,,,,Avenida Arquitecto Fernando Távora,,,roundabout,,,,8599
705402201,705402113,0,223296088,1,secondary,False,74.542,2,,,,Rua Coronel Hélder Ribeiro,,,,,,,8600
705402215,292258273,0,452764229,1,secondary,False,25.107,2,,,,,,,,,,,8601
705402223,705402081,0,56211664,1,secondary,False,156.956,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8602
705402223,705402224,0,859079026,1,primary,False,20.487000000000002,2,EN 540-1,,,,,,roundabout,,,,8603
705402224,1811646233,0,859079025,1,primary,False,6.794,2,EN 540-1,,,,,,roundabout,,,,8604
705402233,1436602895,0,56211703,0,residential,False,85.55199999999999,,,,,Rua Francisco Maia,,,,,,,8605
705402233,4316780336,0,"[56211704, 58963036, 58963037]",0,primary,False,231.653,2,EN 540-1,,yes,Rua Veloso Salgado,,,,,,,8606
705402233,278405076,0,56211704,0,primary,True,37.001999999999995,,EN 540-1,,,Rua Veloso Salgado,,,,,,,8607
705402238,705402142,0,56211658,0,residential,True,212.75500000000002,,,,,Rua Maia Pinto,4,,,,,,8608
705402238,705402021,0,56211689,1,residential,False,138.389,,,,,Travessa Francisco Maia,4,,,,,,8609
705402238,1436602977,0,130432730,0,residential,True,119.381,,,,,Rua Maia Pinto,,,,,,,8610
705402240,1219137961,0,56211676,1,secondary,False,8.618,,,,,,,,roundabout,,,,8611
705402244,705402016,0,308679992,1,secondary,False,389.2919999999999,,,,,Avenida Arquitecto Fernando Távora,,,,,,,8612
705402244,1190291449,0,1016994283,1,secondary,False,47.760999999999996,,,,,Avenida Arquitecto Fernando Távora,,,roundabout,,,,8613
705402249,1429101382,0,223296088,1,secondary,False,1287.6299999999999,2,,,,Rua Coronel Hélder Ribeiro,,,,,,,8614
705402249,3139475450,0,308680620,1,secondary,False,42.191,,,,,,,,,,,,8615
705402251,705402161,0,56211662,0,residential,True,125.047,,,,,Rua Francisco Maia,4,,,,,,8616
705402251,1436602895,0,444940094,0,residential,False,19.654,,,,,Rua Francisco Maia,,,,,,,8617
705402251,1436602897,0,56211699,0,residential,False,40.237,,,,,Rua José Augusto de Almeida Cayolla,4,,,,,,8618
705402291,706409999,0,56211680,1,secondary,False,79.564,,,,,Rua Belchior Robles,,,,,,,8619
705402291,3175824811,0,223275948,0,secondary,True,43.586999999999996,,,,,Rua Belchior Robles,,,,,,,8620
705402298,705402105,0,56211663,1,secondary,False,41.864,,,,,Rua Belchior Robles,,,,,,,8621
705402305,1219137891,0,56211676,1,secondary,False,8.176,,,,,,,,roundabout,,,,8622
706409999,705402035,0,56211680,1,secondary,False,50.277,,,,,Rua Belchior Robles,,,,,,,8623
715052371,2166244974,0,26248550,0,secondary,False,88.36699999999999,,,50,,Rua Godinho de Faria,,,,,,,8624
715052371,292258210,0,26248550,0,secondary,True,259.561,,,50,,Rua Godinho de Faria,,,,,,,8625
715052371,715052445,0,57678061,0,secondary,False,152.699,,,,,Rua Laranjeiras,,,,,,,8626
715052390,715052442,0,57678056,0,tertiary,True,15.494,,,,,,,,,,,,8627
715052390,434134942,0,550503885,1,tertiary,False,39.629,2,,,,Rua da Estrada Velha,,,,,,,8628
715052408,2596003164,0,57678052,1,secondary,False,6.954,,,,,Rua de Santos Lessa,6,,,,,,8629
715052418,292258206,0,57684657,0,secondary,True,256.27000000000004,,,,,Rua de Santos Lessa,6,,,,,,8630
715052418,292258196,0,57684660,1,secondary,False,57.929,,,,,Rua de Santos Lessa,6,,,,,,8631
715052420,430219543,0,26644751,0,tertiary,True,28.567,,,,,Rua Laranjeiras,,,,,,,8632
715052420,715052461,0,1019676008,1,secondary,False,20.263,2,,,,,,,roundabout,,,,8633
715052442,715052390,0,57678056,0,tertiary,False,15.494,,,,,,,,,,,,8634
715052442,729856261,0,550503886,1,residential,False,114.711,2,,,,Rua da Estrada Velha,,,,,,,8635
715052444,715052408,0,57678058,1,tertiary,False,14.027999999999999,2,,,,Rua da Estrada Velha,,,,,,,8636
715052444,1037306997,0,57684660,1,secondary,False,132.00799999999998,,,,,Rua de Santos Lessa,6,,,,,,8637
715052445,715052371,0,57678061,0,secondary,True,152.699,,,,,Rua Laranjeiras,,,,,,,8638
715052445,715052420,0,1019676007,1,secondary,False,33.516999999999996,2,,,,,,,roundabout,,,,8639
715052461,292340251,0,26644752,1,secondary,False,83.393,2,,,,,,,,,,,8640
715052461,292258269,0,286085496,1,secondary,False,43.352,2,,,,,,,roundabout,,,,8641
715172816,1037307053,0,57684661,1,secondary,False,118.63799999999999,,,,,Rua Godinho de Faria,6,,,,,,8642
715172817,418008246,0,57684655,1,secondary,False,80.829,,,,,,,,,,,,8643
715172817,6715594561,0,1016953393,0,secondary,True,163.97,,,,,Rua Frei Esteves Vasques Pimentel,,,,,,,8644
715172818,715172816,0,856996059,1,secondary,False,10.06,,,,,Rua Godinho de Faria,6,,,,,,8645
715172818,770622584,0,61845171,0,secondary,True,102.253,,,,,,,,,,,,8646
